nipa_line,pce_category,bea_code,commodity_description,producers_value,purchasers_value
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",314900,Other textile product mills,475,1270
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",315000,Apparel manufacturing,227,564
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",322120,Paper mills,58,136
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",322291,Sanitary paper product manufacturing,3596,11739
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",325610,Soap and cleaning compound manufacturing,1426,3121
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",325620,Toilet preparation manufacturing,14677,32090
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",326290,Other rubber product manufacturing,622,1852
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",332200,Cutlery and handtool manufacturing,1826,4741
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",333318,Other commercial and service industry machinery manufacturing,0,0
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",33399A,Other general purpose machinery manufacturing,212,561
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",335911,Storage battery manufacturing,2683,4490
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",339113,Surgical appliance and supplies manufacturing,4,11
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",339990,All other miscellaneous manufacturing,5783,15543
139,Cosmetic/perfumes/bath/nail preparations and implements,325610,Soap and cleaning compound manufacturing,3178,6958
139,Cosmetic/perfumes/bath/nail preparations and implements,325620,Toilet preparation manufacturing,18326,39172
139,Cosmetic/perfumes/bath/nail preparations and implements,332200,Cutlery and handtool manufacturing,116,301
140,Electric appliances for personal care,335210,Small electrical appliance manufacturing,3977,7268
141,Tobacco,312200,Tobacco product manufacturing,56674,114963
143,Newspapers and periodicals,511110,Newspaper publishers,13189,17764
143,Newspapers and periodicals,511120,Periodical Publishers,8236,11101
143,Newspapers and periodicals,5111A0,"Directory, mailing list, and other publishers",1348,1860
143,Newspapers and periodicals,512200,Sound recording industries,81,107
143,Newspapers and periodicals,519130,Internet publishing and broadcasting and Web search portals,7215,7215
143,Newspapers and periodicals,S00402,Used and secondhand goods,0,8
144,Stationery and miscellaneous printed materials,322230,Stationery product manufacturing,742,1450
144,Stationery and miscellaneous printed materials,323110,Printing,389,754
144,Stationery and miscellaneous printed materials,325520,Adhesive manufacturing,1630,3105
144,Stationery and miscellaneous printed materials,326290,Other rubber product manufacturing,177,360
144,Stationery and miscellaneous printed materials,339940,Office supplies (except paper) manufacturing,2298,4694
144,Stationery and miscellaneous printed materials,339990,All other miscellaneous manufacturing,73,163
144,Stationery and miscellaneous printed materials,5111A0,"Directory, mailing list, and other publishers",6096,11676
144,Stationery and miscellaneous printed materials,S00402,Used and secondhand goods,0,9
147,Government employees' expenditures abroad,S00300,Noncomparable imports,7165,7165
148,Private employees' expenditures abroad,S00300,Noncomparable imports,1404,1404
149,Less: Personal remittances in kind to nonresidents,S00900,Rest of the world adjustment,-1562,-1562
155,Tenant-occupied mobile homes,531HST,Tenant-occupied housing,10409,10409
156,Tenant landlord durables,531HST,Tenant-occupied housing,456667,456667
161,Owner-occupied mobile homes,531HSO,Owner-occupied housing,65713,65713
162,Owner-occupied stationary homes,531HSO,Owner-occupied housing,1467514,1467514
163,Rental value of farm dwellings,531HSO,Owner-occupied housing,19951,19951
163,Rental value of farm dwellings,531HST,Tenant-occupied housing,599,599
164,Group housing,721000,Accommodation,2401,2401
167,Water supply and sewage maintenance,221300,"Water, sewage and other systems",39512,39512
167,Water supply and sewage maintenance,S00203,Other state and local government enterprises,33166,33166
168,Garbage and trash collection,562000,Waste management and remediation services,28334,28334
170,Electricity,221100,"Electric power generation, transmission, and distribution",177661,177661
171,Natural gas,221200,Natural gas distribution,48152,48152
171,Natural gas,221300,"Water, sewage and other systems",92,92
174,Physician services,621100,Offices of physicians,491310,491310
174,Physician services,621400,Outpatient care centers,60138,60138
175,Dental services,621200,Offices of dentists,129315,129315
177,Home health care,621600,Home health care services,107391,107391
178,Medical laboratories,621500,Medical and diagnostic laboratories,38265,38265
180,Specialty outpatient care facilities and health and allied services,621300,Offices of other health practitioners,84497,84497
180,Specialty outpatient care facilities and health and allied services,621400,Outpatient care centers,47256,47256
180,Specialty outpatient care facilities and health and allied services,621900,Other ambulatory health care services,15062,15062
181,All other professional medical services,532A00,General and consumer goods rental,3019,3019
181,All other professional medical services,621400,Outpatient care centers,46785,46785
181,All other professional medical services,621900,Other ambulatory health care services,13937,13937
184,Nonprofit hospitals' services to households,622000,Hospitals,681856,681856
185,Proprietary hospitals,622000,Hospitals,131724,131724
186,Government hospitals,622000,Hospitals,209110,209110
188,Nonprofit nursing homes' services to households,623A00,Nursing and community care facilities,45924,45924
188,Nonprofit nursing homes' services to households,623B00,"Residential mental health, substance abuse, and other residential care facilities",17005,17005
189,Proprietary and government nursing homes,623A00,Nursing and community care facilities,113747,113747
189,Proprietary and government nursing homes,623B00,"Residential mental health, substance abuse, and other residential care facilities",8965,8965
192,Motor vehicle maintenance and repair,48A000,Scenic and sightseeing transportation and support activities,7298,7298
192,Motor vehicle maintenance and repair,611A00,"Junior colleges, colleges, universities, and professional schools",136,136
192,Motor vehicle maintenance and repair,811100,Automotive repair and maintenance,164881,164881
195,Auto leasing,532100,Automotive equipment rental and leasing,35203,35203
196,Truck leasing,532100,Automotive equipment rental and leasing,22094,22094
197,Motor vehicle rental,532100,Automotive equipment rental and leasing,21303,21303
198,Parking fees and tolls,812900,Other personal services,12278,12278
198,Parking fees and tolls,S00203,Other state and local government enterprises,12730,12730
201,Railway transportation,482000,Rail transportation,1307,1307
203,Intercity buses,485000,Transit and ground passenger transportation,1451,1451
204,Taxicabs and ride sharing services,485000,Transit and ground passenger transportation,13021,13021
205,Intracity mass transit,485000,Transit and ground passenger transportation,20858,20858
206,Other road transportation service,485000,Transit and ground passenger transportation,12130,12130
206,Other road transportation service,48A000,Scenic and sightseeing transportation and support activities,1769,1769
206,Other road transportation service,561500,Travel arrangement and reservation services,4439,4439
207,Air transportation,481000,Air transportation,94749,94749
208,Water transportation,483000,Water transportation,1427,1427
208,Water transportation,48A000,Scenic and sightseeing transportation and support activities,2332,2332
211,Membership clubs and participant sports centers,532400,Commercial and industrial machinery and equipment rental and leasing,92,92
211,Membership clubs and participant sports centers,611B00,Other educational services,26,26
211,Membership clubs and participant sports centers,713900,Other amusement and recreation industries,55958,55958
212,"Amusement parks, campgrounds, and related recreational services",114000,"Fishing, hunting and trapping",3011,3011
212,"Amusement parks, campgrounds, and related recreational services",532400,Commercial and industrial machinery and equipment rental and leasing,349,349
212,"Amusement parks, campgrounds, and related recreational services",532A00,General and consumer goods rental,1969,1969
212,"Amusement parks, campgrounds, and related recreational services",611100,Elementary and secondary schools,82,82
212,"Amusement parks, campgrounds, and related recreational services",611B00,Other educational services,12663,12663
212,"Amusement parks, campgrounds, and related recreational services",711A00,Promoters of performing arts and sports and agents for public figures,2264,2264
212,"Amusement parks, campgrounds, and related recreational services",712000,"Museums, historical sites, zoos, and parks",3667,3667
212,"Amusement parks, campgrounds, and related recreational services",713100,Amusement parks and arcades,17522,17522
212,"Amusement parks, campgrounds, and related recreational services",713900,Other amusement and recreation industries,17173,17173
212,"Amusement parks, campgrounds, and related recreational services",721000,Accommodation,8115,8115
214,Motion picture theaters,481000,Air transportation,161,161
214,Motion picture theaters,512100,Motion picture and video industries,12719,12719
214,Motion picture theaters,611A00,"Junior colleges, colleges, universities, and professional schools",402,402
215,"Live entertainment, excluding sports",561500,Travel arrangement and reservation services,1134,1134
215,"Live entertainment, excluding sports",611100,Elementary and secondary schools,633,633
215,"Live entertainment, excluding sports",711100,Performing arts companies,29030,29030
215,"Live entertainment, excluding sports",711500,"Independent artists, writers, and performers",472,472
215,"Live entertainment, excluding sports",711A00,Promoters of performing arts and sports and agents for public figures,3653,3653
216,Spectator sports,561500,Travel arrangement and reservation services,2510,2510
216,Spectator sports,611100,Elementary and secondary schools,4743,4743
216,Spectator sports,611A00,"Junior colleges, colleges, universities, and professional schools",516,516
216,Spectator sports,711200,Spectator sports,17352,17352
216,Spectator sports,711A00,Promoters of performing arts and sports and agents for public figures,2005,2005
217,Museums and libraries,5191A0,"News syndicates, libraries, archives and all other information services",4546,4546
217,Museums and libraries,712000,"Museums, historical sites, zoos, and parks",6967,6967
219,"Cable, satellite, and other live television services",517110,Wired telecommunications carriers,96011,96011
220,Photo processing,812900,Other personal services,1954,1954
221,Photo studios,541920,Photographic services,7156,7156
222,"Repair and rental of audio-visual, photographic, and information processing equipment",532A00,General and consumer goods rental,1260,1260
222,"Repair and rental of audio-visual, photographic, and information processing equipment",811200,Electronic and precision equipment repair and maintenance,3002,3002
222,"Repair and rental of audio-visual, photographic, and information processing equipment",811400,Personal and household goods repair and maintenance,4338,4338
223,Video and audio streaming and rental,515100,Radio and television broadcasting,6891,6891
223,Video and audio streaming and rental,518200,"Data processing, hosting, and related services",16720,16720
223,Video and audio streaming and rental,532A00,General and consumer goods rental,2307,2307
227,Casino gambling,713200,Gambling industries (except casino hotels),111858,111858
228,Lotteries,S00203,Other state and local government enterprises,26613,26613
229,Pari-mutuel net receipts,711200,Spectator sports,3799,3799
229,Pari-mutuel net receipts,713200,Gambling industries (except casino hotels),0,0
231,Veterinary and other services for pets,115000,Support activities for agriculture and forestry,124,124
231,Veterinary and other services for pets,541940,Veterinary services,33726,33726
231,Veterinary and other services for pets,812900,Other personal services,8831,8831
232,Package tours,561500,Travel arrangement and reservation services,15311,15311
233,Maintenance and repair of recreational vehicles and sports equipment,334511,"Search, detection, and navigation instruments manufacturing",21,46
233,Maintenance and repair of recreational vehicles and sports equipment,811400,Personal and household goods repair and maintenance,5541,5541
239,Elementary and secondary school lunches,722A00,All other food and drinking places,8947,8947
240,Higher education school lunches,722A00,All other food and drinking places,18752,18752
242,Meals at limited service eating places,722211,Limited-service restaurants,317183,317183
243,Meals at other eating places,482000,Rail transportation,131,131
243,Meals at other eating places,512100,Motion picture and video industries,5030,5030
243,Meals at other eating places,711100,Performing arts companies,75,75
243,Meals at other eating places,711200,Spectator sports,61,61
243,Meals at other eating places,711A00,Promoters of performing arts and sports and agents for public figures,159,159
243,Meals at other eating places,722110,Full-service restaurants,217508,217508
243,Meals at other eating places,722211,Limited-service restaurants,22020,22020
243,Meals at other eating places,722A00,All other food and drinking places,44227,44227
244,Meals at drinking places,722A00,All other food and drinking places,5566,5566
245,Alcohol in purchased meals,481000,Air transportation,1109,1109
245,Alcohol in purchased meals,482000,Rail transportation,20,20
245,Alcohol in purchased meals,711100,Performing arts companies,33,33
245,Alcohol in purchased meals,711200,Spectator sports,108,108
245,Alcohol in purchased meals,711A00,Promoters of performing arts and sports and agents for public figures,274,274
245,Alcohol in purchased meals,722110,Full-service restaurants,61725,61725
245,Alcohol in purchased meals,722211,Limited-service restaurants,5520,5520
245,Alcohol in purchased meals,722A00,All other food and drinking places,30402,30402
246,Food furnished to employees (including military),1111B0,Grain farming,36,57
246,Food furnished to employees (including military),111200,Vegetable and melon farming,384,555
246,Food furnished to employees (including military),111300,Fruit and tree nut farming,245,352
246,Food furnished to employees (including military),112300,Poultry and egg production,193,220
246,Food furnished to employees (including military),114000,"Fishing, hunting and trapping",144,174
246,Food furnished to employees (including military),311210,Flour milling and malt manufacturing,267,346
246,Food furnished to employees (including military),311221,Wet corn milling,452,586
246,Food furnished to employees (including military),311225,Fats and oils refining and blending,246,306
246,Food furnished to employees (including military),311230,Breakfast cereal manufacturing,423,527
246,Food furnished to employees (including military),311300,Sugar and confectionery product manufacturing,570,672
246,Food furnished to employees (including military),311410,Frozen food manufacturing,938,1177
246,Food furnished to employees (including military),311420,"Fruit and vegetable canning, pickling, and drying",903,1133
246,Food furnished to employees (including military),311513,Cheese manufacturing,1265,1426
246,Food furnished to employees (including military),311514,"Dry, condensed, and evaporated dairy product manufacturing",215,268
246,Food furnished to employees (including military),31151A,Fluid milk and butter manufacturing,568,639
246,Food furnished to employees (including military),311520,Ice cream and frozen dessert manufacturing,188,211
246,Food furnished to employees (including military),311615,Poultry processing,1981,2099
246,Food furnished to employees (including military),31161A,"Animal (except poultry) slaughtering, rendering, and processing",3049,3406
246,Food furnished to employees (including military),311700,Seafood product preparation and packaging,335,378
246,Food furnished to employees (including military),311810,Bread and bakery product manufacturing,1699,2117
246,Food furnished to employees (including military),3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",980,1221
246,Food furnished to employees (including military),311910,Snack food manufacturing,1533,1801
246,Food furnished to employees (including military),311920,Coffee and tea manufacturing,402,502
246,Food furnished to employees (including military),311930,Flavoring syrup and concentrate manufacturing,65,77
246,Food furnished to employees (including military),311940,Seasoning and dressing manufacturing,635,794
246,Food furnished to employees (including military),311990,All other food manufacturing,1130,1420
246,Food furnished to employees (including military),312110,Soft drink and ice manufacturing,1792,2234
250,Hotels and motels,721000,Accommodation,113361,113361
251,Housing at schools,721000,Accommodation,36319,36319
255,Commercial banks,52A000,Monetary authorities and depository credit intermediation,148026,148026
256,Other depository institutions and regulated investment companies,525000,"Funds, trusts, and other financial vehicles",114400,114400
256,Other depository institutions and regulated investment companies,52A000,Monetary authorities and depository credit intermediation,22516,22516
257,Pension funds,525000,"Funds, trusts, and other financial vehicles",56126,56126
259,Financial service charges and fees,491000,Postal service,146,146
259,Financial service charges and fees,522A00,Nondepository credit intermediation and related activities,42387,42387
259,Financial service charges and fees,52A000,Monetary authorities and depository credit intermediation,65821,65821
262,Exchange-listed equities,523A00,Securities and commodity contracts intermediation and brokerage,3696,3696
263,Other direct commissions,523A00,Securities and commodity contracts intermediation and brokerage,10048,10048
265,Over-the-counter equity securities,523A00,Securities and commodity contracts intermediation and brokerage,488,488
266,Other imputed commissions,523A00,Securities and commodity contracts intermediation and brokerage,7434,7434
267,Mutual fund sales charges,523A00,Securities and commodity contracts intermediation and brokerage,9407,9407
268,Portfolio management and investment advice services,523900,Other financial investment activities,161279,161279
268,Portfolio management and investment advice services,523A00,Securities and commodity contracts intermediation and brokerage,16258,16258
269,"Trust, fiduciary, and custody activities",523900,Other financial investment activities,16616,16616
271,Life insurance,524113,Direct life insurance carriers,90314,90314
271,Life insurance,5241XX,"Insurance Carriers, except Direct Life Insurance",2748,2748
272,Net household insurance,5241XX,"Insurance Carriers, except Direct Life Insurance",12707,12707
276,Medical care and hospitalization,5241XX,"Insurance Carriers, except Direct Life Insurance",176505,176505
277,Income loss,5241XX,"Insurance Carriers, except Direct Life Insurance",3355,3355
278,Workers' compensation,5241XX,"Insurance Carriers, except Direct Life Insurance",35334,35334
279,Net motor vehicle and other transportation insurance,5241XX,"Insurance Carriers, except Direct Life Insurance",77603,77603
283,"Land-line telephone services, local charges",517110,Wired telecommunications carriers,18189,18189
283,"Land-line telephone services, local charges",517A00,"Satellite, telecommunications resellers, and all other telecommunications",2723,2723
283,"Land-line telephone services, local charges",532A00,General and consumer goods rental,72,72
283,"Land-line telephone services, local charges",561400,Business support services,68,68
283,"Land-line telephone services, local charges",721000,Accommodation,78,78
284,"Land-line telephone services, long-distance charges",517110,Wired telecommunications carriers,10874,10874
284,"Land-line telephone services, long-distance charges",517A00,"Satellite, telecommunications resellers, and all other telecommunications",6,6
285,Cellular telephone services,517210,Wireless telecommunications carriers (except satellite),122323,122323
285,Cellular telephone services,517A00,"Satellite, telecommunications resellers, and all other telecommunications",8089,8089
287,First-class postal service (by U.S. Postal Service),491000,Postal service,6768,6768
287,First-class postal service (by U.S. Postal Service),S00402,Used and secondhand goods,13,28
288,Other delivery services (by non-U.S. postal facilities),492000,Couriers and messengers,6456,6456
288,Other delivery services (by non-U.S. postal facilities),561400,Business support services,797,797
289,Internet access,517110,Wired telecommunications carriers,76478,76478
289,Internet access,517A00,"Satellite, telecommunications resellers, and all other telecommunications",2668,2668
292,Proprietary and public higher education,611A00,"Junior colleges, colleges, universities, and professional schools",107830,107830
293,Nonprofit private higher education services to households,611A00,"Junior colleges, colleges, universities, and professional schools",72759,72759
295,Elementary and secondary schools,611100,Elementary and secondary schools,33551,33551
296,Day care and nursery schools,624400,Child day care services,12236,12236
297,Commercial and vocational schools,611A00,"Junior colleges, colleges, universities, and professional schools",464,464
297,Commercial and vocational schools,611B00,Other educational services,50601,50601
299,Legal services,541100,Legal services,103997,103997
301,Tax preparation and other related services,541200,"Accounting, tax preparation, bookkeeping, and payroll services",17900,17900
301,Tax preparation and other related services,541400,Specialized design services,7558,7558
301,Tax preparation and other related services,561400,Business support services,1447,1447
301,Tax preparation and other related services,561600,Investigation and security services,379,379
302,Employment agency services,561300,Employment services,1879,1879
303,Other personal business services,323110,Printing,6,7
303,Other personal business services,454000,Nonstore retailers,5974,5974
303,Other personal business services,541800,"Advertising, public relations, and related services",766,766
303,Other personal business services,561400,Business support services,4031,4031
304,Labor organization dues,813B00,"Civic, social, professional, and similar organizations",13878,13878
305,Professional association dues,813B00,"Civic, social, professional, and similar organizations",10566,10566
306,Funeral and burial services,327991,Cut stone and stone product manufacturing,3169,5100
306,Funeral and burial services,332999,Other fabricated metal manufacturing,18,29
306,Funeral and burial services,481000,Air transportation,46,46
306,Funeral and burial services,812200,Death care services,21338,21338
309,Hairdressing salons and personal grooming establishments,611B00,Other educational services,20,20
309,Hairdressing salons and personal grooming establishments,721000,Accommodation,3020,3020
309,Hairdressing salons and personal grooming establishments,812100,Personal care services,63184,63184
310,Miscellaneous personal care services,811400,Personal and household goods repair and maintenance,3669,3669
310,Miscellaneous personal care services,812100,Personal care services,15854,15854
310,Miscellaneous personal care services,812900,Other personal services,48709,48709
312,Laundry and drycleaning services,721000,Accommodation,0,0
312,Laundry and drycleaning services,812300,Dry-cleaning and laundry services,12624,12624
313,"Clothing repair, rental, and alterations",532A00,General and consumer goods rental,1187,1187
313,"Clothing repair, rental, and alterations",811400,Personal and household goods repair and maintenance,2406,2406
313,"Clothing repair, rental, and alterations",812300,Dry-cleaning and laundry services,1467,1467
314,Repair and hire of footwear,811400,Personal and household goods repair and maintenance,340,340
316,Child care,624400,Child day care services,39395,39395
318,Homes for the elderly,623A00,Nursing and community care facilities,25701,25701
319,Residential mental health and substance abuse,623B00,"Residential mental health, substance abuse, and other residential care facilities",14786,14786
320,Individual and family services,624100,Individual and family services,66590,66590
321,Vocational rehabilitation services,624A00,"Community food, housing, and other relief services, including vocational rehabilitation services",10688,10688
322,Community food and housing/emergency/other relief services,624A00,"Community food, housing, and other relief services, including vocational rehabilitation services",11820,11820
323,"Other social assistance, not elsewere classified",623B00,"Residential mental health, substance abuse, and other residential care facilities",5054,5054
324,Social advocacy and civic and social organizations,813A00,"Grantmaking, giving, and social advocacy organizations",1879,1879
324,Social advocacy and civic and social organizations,813B00,"Civic, social, professional, and similar organizations",11881,11881
325,Religious organizations' services to households,813100,Religious organizations,7586,7586
326,Foundations and grantmaking and giving services to households,813A00,"Grantmaking, giving, and social advocacy organizations",4329,4329
328,Domestic services,561700,Services to buildings and dwellings,8001,8001
328,Domestic services,814000,Private households,18684,18684
329,"Moving, storage, and freight services",481000,Air transportation,22,22
329,"Moving, storage, and freight services",483000,Water transportation,1,1
329,"Moving, storage, and freight services",484000,Truck transportation,11700,11700
329,"Moving, storage, and freight services",493000,Warehousing and storage,251,251
329,"Moving, storage, and freight services",531ORE,Other real estate,5861,5861
330,"Repair of furniture, furnishings, and floor coverings",811400,Personal and household goods repair and maintenance,1565,1565
331,Repair of household appliances,532A00,General and consumer goods rental,3673,3673
331,Repair of household appliances,811200,Electronic and precision equipment repair and maintenance,68,68
331,Repair of household appliances,811400,Personal and household goods repair and maintenance,4083,4083
332,Other household services,561600,Investigation and security services,10986,10986
332,Other household services,561700,Services to buildings and dwellings,13347,13347
332,Other household services,561900,Other support services,159,159
332,Other household services,811400,Personal and household goods repair and maintenance,390,390
335,Passenger fares for foreign travel,481000,Air transportation,33697,33697
335,Passenger fares for foreign travel,483000,Water transportation,20599,20599
336,U.S. travel outside the United States,S00300,Noncomparable imports,90876,90876
337,U.S. student expenditures,S00300,Noncomparable imports,10776,10776
338,Less: Expenditures in the United States by nonresidents,S00900,Rest of the world adjustment,-199435,-199435
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),515100,Radio and television broadcasting,4762,4762
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),541100,Legal services,96,96
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),541700,Scientific research and development services,5303,5303
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),611100,Elementary and secondary schools,14001,14001
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),611A00,"Junior colleges, colleges, universities, and professional schools",56614,56614
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),611B00,Other educational services,5164,5164
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),621400,Outpatient care centers,6742,6742
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),621600,Home health care services,126,126
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),621900,Other ambulatory health care services,420,420
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),622000,Hospitals,16506,16506
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),623A00,Nursing and community care facilities,2206,2206
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),623B00,"Residential mental health, substance abuse, and other residential care facilities",8231,8231
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),624100,Individual and family services,46311,46311
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),624400,Child day care services,5364,5364
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),624A00,"Community food, housing, and other relief services, including vocational rehabilitation services",32875,32875
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),711100,Performing arts companies,3458,3458
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),711A00,Promoters of performing arts and sports and agents for public figures,3006,3006
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),712000,"Museums, historical sites, zoos, and parks",10591,10591
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),713900,Other amusement and recreation industries,7700,7700
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),813100,Religious organizations,92616,92616
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),813A00,"Grantmaking, giving, and social advocacy organizations",52025,52025
342,Final consumption expenditures of nonprofit institutions serving households (NPISH),813B00,"Civic, social, professional, and similar organizations",22299,22299
